id,game_name,console,game_type,finished,published_year,played_year,hours_played,perso_score,multiplayed,comp_100,comp_all,comp_main,comp_plus,platform,developer
182,The Lord of the Rings: The Battle for Middle-earth,PC,STR,0,2003,2003,35,85,1,16.63,11.74,9.58,13.37,PC,EA Los Angeles
183,God of War,PS2,Beat'em All|Action-Adventure,1,2005,2020,10,86,0,14.4,12.25,11.9,13.07,"PlayStation 2, PlayStation 3, PlayStation Vita",SCE Studios Santa Monica
185,FIFA: Road to World Cup 98,PS1,Sport,0,1998,1998,15,85,1,81.6,40.13,22.04,36,"Game Boy, Nintendo 64, PC, PlayStation, Sega Mega Drive/Genesis, Sega Saturn, Super Nintendo",Various
186,FIFA 2000,PC,Sport,0,2000,2000,20,75,0,85.55,69.33,8.5,59.36,"Game Boy Color, PC, PlayStation",EA Canada
187,FIFA 15,PS3,Sport,0,2014,2015,20,80,1,256.24,108.83,61.14,134.42,"Nintendo 3DS, PC, PlayStation 3, PlayStation 4, PlayStation Vita, Wii, Xbox 360, Xbox One",EA Canada
188,FIFA 16,PS4,Sport,0,2015,2016,20,80,1,300.14,90.48,52.99,121.36,"PC, PlayStation 3, PlayStation 4, Xbox 360, Xbox One",EA Canada
190,Super Mario Bros.,NES,Platformer,1,1985,1993,20,82,1,9.19,8.75,4.25,0,NES,
191,Super Mario Bros. 2,NES,Platformer,1,1988,1995,15,83,1,5.1,3.35,2.93,3.3,"NES, Super Nintendo",Nintendo EAD
192,Super Mario Bros. 3,NES,Platformer,1,1988,1995,20,90,1,9.19,8.75,4.25,0,NES,
193,New Super Mario Bros. Wii,Wii,Platformer,1,2008,2010,20,90,1,15.92,11.71,6.21,11.18,Wii,The Newer Team!
195,Mario Kart: Double Dash,GameCube,Racing,1,2003,2003,30,90,1,23.55,12.22,5.75,12.51,"Emulated, Nintendo GameCube, Wii",Nintendo EAD
196,Super Mario Kart,SNES,Racing,0,1992,2000,5,80,1,15.07,4.56,2.39,8.15,"Emulated, Nintendo Switch, Super Nintendo, Wii, Wii U",Nintendo EAD
197,Mario Kart Wii,Wii,Racing,0,2008,2008,30,90,1,24.56,12.53,5.58,14.54,Wii,Nintendo EAD
198,Mario Kart Deluxe,Switch,Racing,0,2017,2020,5,90,1,52.18,21.6,6.2,22.09,Nintendo Switch,Nintendo
199,Mario Kart 64,N64,Racing,0,1996,2001,10,85,1,18.89,7.88,4.81,11.37,Nintendo 64,Nintendo EAD
200,Super Mario 64,N64,Racing,0,1996,1996,15,92,1,0,3.23,3.23,0,Nintendo 64,frauber
201,Super Smash Bros. Melee,GameCube,Versus Fighting,1,2002,2002,30,92,1,155.99,52.85,9.94,53.79,Nintendo GameCube,HAL Laboratory
202,Mario Party 5,GameCube,Party Game,1,2003,2003,50,89,1,25.37,13.78,10.75,16.78,"Emulated, Nintendo GameCube",Hudson Soft
203,Mario Party 3,N64,Party Game,1,2003,2003,50,92,1,18.3,11.57,8.59,15.41,"Emulated, Nintendo 64",Hudson Soft
204,Mario Tennis,GameCube,Sport,0,2004,2007,15,75,1,69.28,8.6,3.36,17.39,"Nintendo GameCube, Wii",Camelot Software Planning
205,Paper Mario,GameCube,Action-Adventure|Platformer,0,2000,2009,10,80,1,58.23,36.64,30.66,39.43,"Nintendo GameCube, Nintendo Switch",Intelligent Systems
206,Mario RPG,SNES,JRPG,0,1996,2000,15,82,0,25.23,18.57,17.53,19.03,Super Nintendo,Square
207,Golden Eye,N64,FPS,0,1997,1998,40,92,1,22.06,11.04,8.75,13.53,"Nintendo 64, Nintendo Switch, Xbox One, Xbox Series X/S",Rare
208,Perfect Dark,N64,FPS,0,2000,2000,5,80,1,33.42,11.5,8.47,16.5,"Game Boy Color, Nintendo 64, Xbox 360","Rare, 4J Studios"
209,Rayman 2: The Great Escape,N64,Action-Adventure|Platformer,0,1999,2000,20,88,1,11.68,8.84,7.98,8.55,"Dreamcast, Mobile, Nintendo 64, PC, PlayStation",Ubisoft
210,Rayman,GBA,Action-Adventure|Platformer,1,2000,2000,25,89,1,7.89,5.77,5.17,7.76,"Mobile, Game Boy Advance, N-Gage",Ludi Factory
211,Rayman Origins,Wii,Action-Adventure|Platformer,0,2011,2011,20,89,1,21.54,13.84,10.99,14.41,"PC, Nintendo 3DS, PlayStation 3, PlayStation 4, PlayStation Vita, Wii, Xbox 360, Xbox One",Ubisoft Montpellier
212,Batman Returns,NES,Action-Adventure|Beat'em All,0,1989,1993,10,40,1,2.95,1.82,1.57,2.6,"Atari Lynx, NES, Sega CD, Sega Game Gear, Sega Master System, Sega Mega Drive/Genesis, Super Nintendo",Various
215,Wii Sports,Wii,Sport,0,2006,2006,5,80,1,78.24,26.39,7.94,39.67,Wii,Nintendo EAD
216,Pokemon Pinball,GBA,Puzzle,0,1999,2000,10,78,1,35.88,27.19,19.24,28.39,Game Boy Advance,Jupiter
217,Monument Valley,Android,Puzzle,1,2014,2018,3,81,1,1.72,1.65,1.57,1.66,"Mobile, PC",ustwo Games
218,Monument Valley 2,Android,Puzzle,1,2017,2020,3,81,1,1.72,1.65,1.57,1.66,"Mobile, PC",ustwo Games
219,Polytopia,Android,STR,0,2016,2017,2,78,0,0,3.3,3.05,3.78,"Mobile, PC",Midjiwan
220,Cyberpunk 2077,PC,RPG|Open World,1,2020,2020,120,99,0,0,76,0,76,"PC, PlayStation 5, Xbox Series X/S",CD PROJEKT RED
222,Among Us,Android,Party game,0,2018,2020,7,70,1,0,0,0,0,"Mobile, PC, PlayStation 4, Xbox One",AdHoc Games
223,Mario Galaxy,Switch,Platformer,0,2008,2020,20,94,1,35.58,19.73,13.83,21.48,"Nintendo Switch, Wii",Nintendo EAD Tokyo
224,Mario Sunshine,Switch,Platformer,0,2003,2020,10,75,1,29.27,19.33,15.06,20.31,"Nintendo GameCube, Nintendo Switch",Nintendo EAD
225,Final Fantasy XII,Switch,JRPG,1,2006,2021,40,93,0,104.49,58.12,40.59,61.8,"Nintendo Switch, PC, PlayStation 4, Xbox One",Square Enix
226,Hades,Switch,Action-Adventure|Hack&Clash,0,2020,2021,30,93,0,95.47,41.57,22.75,48.25,"Mac, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",Supergiant Games
227,New Super Mario Bros U Deluxe,Switch,Platformer,0,2020,2021,25,90,1,28.78,13.58,9,16.61,Nintendo Switch,Nintendo EAD
228,Hyrule Warriors : Age of Calamity,Switch,Action-Adventure|Hack&Clash,0,2020,2021,15,90,1,75.86,41.68,24.66,38.32,Nintendo Switch,Omega Force
229,Assassin's Creed Valhalla,PC,RPG|Open World,0,2020,2021,50,92,0,5.3,4.29,2.61,3.67,"PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",Ubisoft Montreal
230,Demon's Souls,PS5,JRPG|Action-Adventure,0,2020,2022,20,90,0,57.15,31.23,22.84,31.58,PlayStation 5,Bluepoint Games
231,Horizon Forbidden West,PS5,RPG|Open World,0,2022,2022,50,93,0,87.87,64.44,28.72,61.43,"PC, PlayStation 4, PlayStation 5",Guerrilla
232,Star Wars Jedi Fallen Order,PC,RPG|Action-Adventure,1,2019,2020,25,89,0,31.27,21.89,17.16,22.06,"Google Stadia, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",Respawn Entertainment
